english,french,german,dutch,spanish,walloon,korean,chinese
Agency,Agence,Agentur,Bureau,Agencia,Ajance,대행사 / Daehaengsa,机构 / Jīgòu
Seat,Siège,Sitz,Zitplaats,Asiento,,좌석 / Jwaseog,座位 / Zuòwèi
Manner,Manière,Benehmen,Wijze,Conducta,Manîre,방법 / Bangbeob,方式 / Fāngshì
Favour,Favoriser,Gefallen,Gunst,Favor,Avantèdjî,호의 / Houi,青睐 / Qīnglài
Pair,Paire,Paar,Paar-,Par,Apêrî,쌍 / Ssang,一对 / Yī duì
Crisis,Crise,Krise,Crisis,Crisis,,위기 / Wigi,危机 / Wéijī
Smile,Sourire,Lächeln,Glimlach,Sonreír,,웃다 / Usda,微笑 / Wéixiào
Prince,Prince,Prinz,Prins,Príncipe,,왕자 / Wangja,王子 / Wángzǐ
Danger,Danger,Achtung,Gevaar,Peligro,Dandjî,위험 / Wiheom,危险 / Wéixiǎn
Call,Appel,Forderung,Telefoongesprek,Llamar,,전화 / Jeonhwa,称呼 / Chēnghu
Capacity,Capacité,Kapazität,Capaciteit,Capacidad,Cont'nince,용량 / Yonglyang,容量 / Róngliàng
Output,Production,Ausgang,Uitvoer,Producción,,산출 / Sanchul,输出 / Shūchū
Note,Remarque,Hinweis,Notitie,Nota,,노트 / Noteu,笔记 / Bǐjì
Procedure,Procédure,Verfahren,Procedure,Procedimiento,,절차 / Jeolcha,程序 / Chéngxù
Theatre,Théâtre,Theater,Theater,Teatro,Tèyåte,극장 / Geugjang,剧院 / Jùyuàn
Tour,Visiter,Tour,Tour,Recorrido,,관광 / Gwangwang,旅游 / Lǚyóu
Recognition,Reconnaissance,Erkennung,Erkenning,Reconocimiento,Rik'nohance,인식 / Insig,认出 / Rèn chū
Middle,Milieu,Mitte,Midden-,Medio,,가운데 / Gaunde,中间 / Zhōngjiān
Absence,Absence,Abwesenheit,Afwezigheid,Ausencia,,결석 / Gyeolseog,缺席 / Quēxí
Sentence,Phrase,Satz,Zin,Frase,Fråse,문장 / Munjang,句子 / Jùzi
Package,Emballer,Paket,Pakket,Paquete,,패키지 / Paekiji,包裹 / Bāoguǒ
Track,Piste,Spur,Spoor,Pista,,과정 / Gwajeong,追踪 / Zhuīzōng
Card,Carte,Karte,Kaart,Tarjeta,Carte,카드 / Kadeu,卡片 / Kǎpiàn
Sign,Signe,Schild,Teken,Señal,Trace,징후 / Jinghu,符号 / Fúhào
Commitment,Engagement,Engagement,Inzet,Compromiso,,약속 / Yagsog,承诺 / Chéngnuò
Player,Joueur,Spieler,Speler,Jugador,Acteûr,플레이어 / Peulleieo,播放器 / Bòfàng qì
Threat,Menace,Drohung,Bedreiging,Amenaza,Mènace,위협 / Wihyeob,威胁 / Wēixié
Weather,Météo,Wetter,Het weer,Tiempo,,날씨 / Nalssi,天气 / Tiānqì
Element,Élément,Element,Element,Elemento,,요소 / Yoso,元素 / Yuánsù
Conflict,Conflit,Konflikt,Conflict,Conflicto,,갈등 / Galdeung,冲突 / Chōngtú
Notice,Avis,Notiz,Merk op,darse cuenta,,알아채다 / Al-achaeda,注意 / Zhùyì
Victory,Victoire,Sieg,Zege,Victoria,,승리 / Seungli,胜利 / Shènglì
Bottom,Bas,Unterseite,Onderkant,Abajo,Fond,맨 아래 / Maen alae,底部 / Dǐbù
Finance,Finance,Finanzen,Financiën,Finanzas,,재원 / Jaewon,金融 / Jīnróng
Fund,Fonds,Fonds,Fonds,Fondo,,축적 / Chugjeog,基金 / Jījīn
Violence,Violence,Gewalt,Geweld,Violencia,,폭행 / Poghaeng,暴力 / Bàolì
File,Dossier,Datei,Dossier,Archivo,Poyîre,파일 / Pail,文件 / Wénjiàn
Profit,Profit,Profitieren,Winst,Ganancia,,이익 / Iig,利润 / Lìrùn
Standard,Norme,Standard,Standaard-,Estándar,,기준 / Gijun,标准 / Biāozhǔn
Jack,Jack,Jack,Jack,Jacobo,Valèt,잭 / Jaeg,杰克 / Jiékè
Route,Itinéraire,Route,Route,Ruta,Vôye,노선 / Noseon,路线 / Lùxiàn
China,Chine,China,China,Porcelana,Chine,중국 / Jung-gug,中国 / Zhōngguó
Expenditure,Dépense,Ausgaben,Uitgaven,Gasto,,지출 / Jichul,支出 / Zhīchū
Second,Seconde,Zweite,Tweede,Segundo,,두번째 / Dubeonjjae,第二 / Dì èr
Discipline,Discipline,Disziplin,Discipline,Disciplina,,규율 / Gyuyul,纪律 / Jìlǜ
Cell,Cellule,Zelle,Cel,Celúla,,셀 / Sel,细胞 / Xìbāo
Reaction,Réaction,Reaktion,Reactie,Reacción,,반응 / Ban-eung,反应 / Fǎnyìng
Castle,Château,Schloss,Kasteel,Castillo,Tchèstê,성 / Seong,城堡 / Chéngbǎo
Congress,Congrès,Kongress,Congres,Congreso,,회의 / Hoeui,国会 / Guóhuì
Individual,Individuel,Individuell,Individueel,Individual,,개인 / Gaein,个人 / Gèrén
Lead,Mener,Führen,Leiding,Plomo,,리드 / Lideu,带领 / Dàilǐng
Consideration,Considération,Rücksichtnahme,Overweging,Consideración,,고려 사항 / Golyeo sahang,考虑 / Kǎolǜ
Debt,Dette,Schuld,Schuld,Deuda,,빚 / Bij,债务 / Zhàiwù
Option,Option,Möglichkeit,Optie,Opción,,옵션 / Obsyeon,选项 / Xuǎnxiàng
Payment,Paiement,Zahlung,Betaling,Pago,Påyemint,지불 / Jibul,支付 / Zhīfù
Exhibition,Exposition,Ausstellung,Tentoonstelling,Exhibición,,전시회 / Jeonsihoe,展览 / Zhǎnlǎn
Reform,Réforme,Reform,Hervorming,Reforma,,개정 / Gaejeong,改革 / Gǎigé
Emphasis,Accent,Betonung,Nadruk,Énfasis,,중요성 / Jung-yoseong,强调 / Qiángdiào
Spring,Printemps,Frühling,De lente,Primavera,,봄 / Bom,春天 / Chūntiān
Audience,Spectateurs,Publikum,Publiek,Audiencia,,청중 / Cheongjung,观众 / Guānzhòng
Feature,Fonctionnalité,Merkmal,Functie,Rasgo,,특징 / Teugjing,特征 / Tèzhēng
Touch,Touche,Berühren,Aanraken,Toque,Atoucher,접촉 / Jeobchog,触碰 / Chù pèng
Estate,Domaine,Anwesen,Landgoed,Bienes,,사유지 / Sayuji,财产 / Cáichǎn
Assembly,Assemblée,Montage,Bijeenkomst,Asamblea,,집회 / Jibhoe,集会 / Jíhuì
Volume,Volume,Volumen,Volume,Volumen,,용량 / Yonglyang,体积 / Tǐjī
Youth,Jeunesse,Jugend,Jeugd,Juventud,Djonnèsse,청소년 / Cheongsonyeon,青年 / Qīngnián
Contribution,Contribution,Beitrag,Bijdrage,Contribución,,기부금 / Gibugeum,贡献 / Gòngxiàn
Curriculum,Programme d'études,Lehrplan,Leerplan,Plan de estudios,,과정 / Gwajeong,课程 / Kèchéng
Appearance,Apparence,Aussehen,Verschijning,Apariencia,,모습 / Moseub,外貌 / Wàimào
Martin,Martin,Martin,Martin,Martín,,남자 이름 / Namja ileum,马丁 / Mǎdīng
Boat,Bateau,Boot,Boot,Bote,,보트 / Boteu,船 / Chuán
Institute,Institut,Institut,Instituut,Instituto,,학회 / Haghoe,研究所 / Yánjiū suǒ
Membership,Adhésion,Mitgliedschaft,Lidmaatschap,Afiliación,,회원 / Hoewon,会员资格 / Huìyuán zīgé
Branch,Succursale,Zweig,Tak,Sucursal,,나뭇가지 / Namusgaji,分支 / Fēn zhī
Bus,Autobus,Bus,Bus,Autobús,,버스 / Beoseu,公共汽车 / Gōnggòng qìchē
Waste,Gaspillage,Abfall,Afval,Desperdiciar,Trifôgnî,쓰레기 / Sseulegi,浪费 / Làngfèi
Heat,Chauffer,Wärme,Warmte,Calor,,열 / Yeol,热 / Rè
Neck,Cou,Nacken,Nek,Cuello,,목 / Mog,脖子 / Bózi
Object,Objet,Objekt,Voorwerp,Objeto,Camatche,물체 / Mulche,目的 / Mùdì
Captain,Capitaine,Kapitän,Kapitein,Capitán,,선장 / Seonjang,队长 / Duìzhǎng
Driver,Conducteur,Treiber,Bestuurder,Conductor,,운전사 / Unjeonsa,司机 / Sījī
Challenge,Défi,Herausforderung,Uitdaging,Desafío,,도전 / Dojeon,挑战 / Tiǎozhàn
Conversation,Conversation,Konversation,Gesprek,Conversacion,D'vize,대화 / Daehwa,对话 / Duìhuà
Occasion,Occasion,Gelegenheit,Gelegenheid,Ocasión,,기회 / Gihoe,场合 / Chǎnghé
Code,Code,Code,Code,Código,Côde,암호 / Amho,代码 / Dàimǎ
Crown,Couronne,Krone,Kroon,Corona,,왕관 / Wang-gwan,王冠 / Wángguàn
Birth,Naissance,Geburt,Geboorte,Nacimiento,Natål(e),출생 / Chulsaeng,出生 / Chūshēng
Silence,Silence,Schweigen,Stilte,Silencio,Silince,고요 / Goyo,安静 / Ānjìng
Literature,Littérature,Literatur,Literatuur,Literatura,,문학 / Munhag,文学 / Wénxué
Faith,Foi,Vertrauen,Vertrouwen,Fe,Fwè,믿음 / Mid-eum,信仰 / Xìnyǎng
Hell,Enfer,Hölle,Hel,Infierno,Infér,지옥 / Jiog,地狱 / Dìyù
Entry,Entrée,Eintrag,Binnenkomst,Entrada,,기입 / Giib,入口 / Rùkǒu
Transfer,Transférer,Transfer,Overdracht,Transferir,,옮기다 / Olmgida,转移 / Zhuǎnyí
Gentleman,Gentilhomme,Gentleman,Heer,Hidalgo,Moncheû,신사 / Sinsa,绅士 / Shēnshì
Bag,Sac,Tasche,Tas,Bolso,,가방 / Gabang,包 / Bāo
Coal,Charbon,Kohle,Steenkool,Carbón,Tchèrbon,석탄 / Seogtan,煤炭 / Méitàn
Investigation,Enquête,Ermittlung,Onderzoek,Investigación,,조사 / Josa,调查 / Diàochá
Leg,Jambe,Bein,Been,Pierna,Pate,다리 / Dali,腿 / Tuǐ
Belief,Croyance,Glauben,Geloof,Creencia,Crèyince,믿음 / Mid-eum,信仰 / Xìnyǎng
Total,Total,Gesamt,Totaal,Total,,총 / Chong,全部的 / Quánbù de
Major,Majeur,Wesentlich,Belangrijk,Principal,,주요한 / Juyohan,主要的 / Zhǔyào de
Document,Document,Dokumentieren,Document,Documento,,문서 / Munseo,文档 / Wéndàng
Description,Description,Bezeichnung,Omschrijving,Descripción,,설명 / Seolmyeong,描述 / Miáoshù
Murder,Meurtre,Mord,Moord,Asesinato,Moude,살인 / Sal-in,谋杀 / Móushā
Aim,Objectif,Ziel,Doel,Apuntar,,목표 / Mogpyo,目标 / Mùbiāo
Flight,Vol,Flug,Vlucht,Vuelo,Volêye,비행 / Bihaeng,航班 / Hángbān
Conclusion,Conclusion,Fazit,Conclusie,Conclusión,,결론 / Gyeollon,结论 / Jiélùn
Drug,Médicament,Arzneimittel,Drugs,Droga,Drogue,의약품 / Uiyagpum,药品 / Yàopǐn
Tradition,Tradition,Tradition,Traditie,Tradición,,전통 / Jeontong,传统 / Chuántǒng
Pleasure,Plaisir,Vergnügen,Plezier,Placer,Plêzîr,기쁨 / Gippeum,乐趣 / Lèqù
Connection,Lien,Verbindung,Verbinding,Conexión,,연결 / Yeongyeol,联系 / Liánxì
Owner,Propriétaire,Inhaber,Baasje,Propietario,,소유자 / Soyuja,所有者 / Suǒyǒu zhě
Treaty,Traité,Vertrag,Verdrag,Tratado,,조약 / Joyag,条约 / Tiáoyuē
Desire,Désir,Verlangen,Verlangen,Deseo,Lèmer,욕구 / Yoggu,欲望 / Yùwàng
Professor,Professeur,Professor,Professor,Profesor,Profèsseûr,교수 / Gyosu,教授 / Jiàoshòu
Copy,Copie,Kopieren,Kopiëren,Dupdo,,복사 / Bogsa,复制 / Fùzhì
Ministry,Ministère,Ministerium,Ministerie,Ministerio,,내각 / Naegag,部 / Bù
Acid,Acide,Säure,Zuur,Ácido,,산 / San,酸 / Suān
Palace,Palais,Palast,Paleis,Palacio,Palå,궁전 / Gungjeon,宫 / Gōng
Address,Adresse,Die anschrift,Adres,Dirección,Adrèssî,주소 / Juso,地址 / Dìzhǐ
Institution,Institution,Institution,Instelling,Institución,,기관 / Gigwan,机构 / Jīgòu
Lunch,Déjeuner,Mittagessen,Lunch,Almuerzo,Dîner,점심 / Jeomsim,午餐 / Wǔcān
Generation,Génération,Generation,Generatie,Generación,Jènèråchon,세대 / Sedae,一代 / Yīdài
Partner,Partenaire,Partner,Partner,Compañero,,파트너 / Pateuneo,伙伴 / Huǒbàn
Engine,Moteur,Motor,Motor,Motor,,엔진 / Enjin,引擎 / Yǐnqíng
Newspaper,Journal,Zeitung,Krant-,Periódico,Gazète,신문 / Sinmun,报纸 / Bàozhǐ
Cross,Croix,Kreuz,Kruis,Equis,,가로 질러 가다 / Galo jilleo gada,叉 / Chā
Reduction,Réduction,Ermäßigung,Afname,Reducción,Abahèdje,절감 / Jeolgam,减少 / Jiǎnshǎo
Welfare,Bien-être,Wohlfahrt,Welzijn,Bienestar,,복지 / Bogji,福利 / Fúlì
